ve_protein	pa_protein	identity	alignment_length	mismatches	gapopen	qstart	qend	sstart	send	evalue	bitscore
WP_063636991.1	WP_025810135.1	0.737	251	66	0	1	251	1	251	2.758e-124	390
WP_065180546.1	WP_020451905.1	0.775	639	144	0	1	639	1	639	0.0	1035
WP_087920775.1	WP_020452485.1	0.731	194	52	0	4	197	1	194	3.821e-94	300
WP_087920810.1	WP_023857112.1	0.723	163	45	0	1	163	1	163	3.815e-77	249
WP_094296139.1	WP_023856802.1	0.715	337	96	0	3	339	1	337	7.407e-166	515
WP_094296448.1	WP_023857894.1	0.854	728	106	0	1	728	1	727	0.0	1290
WP_095272408.1	WP_043054596.1	0.787	254	53	0	17	268	17	270	2.732e-132	414
WP_095272432.1	WP_026579279.1	0.733	255	68	0	1	255	1	255	2.751e-126	396
WP_095272744.1	WP_023857353.1	0.741	313	80	0	1	311	1	313	2.377e-152	475
WP_103526777.1	WP_023855953.1	0.405	408	239	0	4	406	11	418	3.6829999999999996e-83	279
WP_209387522.1	WP_020452673.1	0.766	257	60	0	1	257	1	257	4.682e-138	430
WP_209387526.1	WP_035337699.1	0.296	304	213	0	2	304	4	307	1.31e-43	159
WP_209387561.1	WP_212110401.1	0.372	438	269	0	1	429	1	438	2.146e-92	308
WP_209387636.1	WP_082021589.1	0.619	381	144	0	7	387	16	395	2.445e-161	505
WP_209387641.1	WP_020453114.1	0.644	138	49	0	1	138	1	138	1.306e-60	200
WP_209387659.1	WP_023857168.1	0.708	316	92	0	1	316	1	316	3.4400000000000006e-162	503
WP_209387833.1	WP_095292802.1	0.563	388	168	0	1	386	1	388	2.646e-147	464
WP_209387856.1	WP_065644601.1	0.708	401	116	0	1	399	1	401	1.703e-194	601
WP_209387862.1	WP_079289311.1	0.743	709	182	0	1	709	1	709	0.0	1126
WP_209387897.1	WP_020451129.1	0.594	666	270	0	1	665	1	666	3.7509999999999995e-273	843
WP_209387901.1	WP_283774283.1	0.585	354	146	0	8	361	1	353	5.229e-135	427
WP_209387905.1	WP_463315634.1	0.53	115	54	0	4	118	8	122	1.225e-40	143
WP_209387939.1	WP_020453093.1	0.768	350	81	0	1	350	1	350	1.652e-188	581
WP_209387942.1	WP_212930469.1	0.596	451	181	0	1	451	1	450	1.41e-186	581
WP_003153145.1	WP_020452143.1	0.801	398	78	0	10	402	4	401	2.204e-201	621
WP_003153403.1	WP_003183064.1	0.926	82	6	0	1	82	1	82	5.103e-51	169
WP_003153420.1	WP_023857462.1	0.561	57	25	0	1	57	1	57	2.345e-17	71
WP_003153433.1	WP_020451968.1	0.908	436	40	0	1	436	1	436	4.398e-272	827
WP_003153485.1	WP_003182952.1	0.964	224	8	0	1	224	1	224	3.57e-150	463
WP_003153499.1	WP_020451936.1	0.835	134	22	0	1	134	1	134	9.049e-72	232
WP_003153512.1	WP_003182913.1	0.821	56	10	0	1	56	1	56	1.542e-27	100
WP_003153716.1	WP_020451835.1	0.583	60	24	0	8	66	8	67	2.2200000000000002e-21	83
WP_003153736.1	WP_043054342.1	0.505	72	35	0	5	76	4	75	3.633e-15	66
WP_007407423.1	WP_039073038.1	0.901	316	31	0	1	316	1	316	2.391e-192	590
WP_007407469.1	WP_020453099.1	0.9	841	84	0	1	841	1	841	0.0	1558
WP_007407725.1	WP_020453376.1	0.695	128	39	0	1	128	1	128	2.114e-58	193
WP_007407765.1	WP_179289511.1	0.655	261	89	0	17	277	6	265	4.471e-115	365
WP_007407985.1	WP_023855696.1	0.64	288	96	0	1	288	1	268	2.304e-109	349
WP_007408224.1	WP_025811122.1	0.842	114	18	0	1	114	1	114	1.307e-60	199
WP_007408231.1	WP_020452373.1	0.701	291	87	0	1	291	1	291	6.135e-136	426
WP_007408461.1	WP_020451149.1	0.767	267	61	0	1	264	1	267	6.346e-133	416
WP_007408509.1	WP_020450569.1	0.728	273	73	0	1	273	1	269	4.929000000000001e-131	411
WP_007408540.1	WP_026580626.1	0.56	191	84	0	1	191	1	191	4.995e-75	245
WP_007408834.1	WP_020452679.1	0.544	134	61	0	1	134	1	134	4.486e-45	155
WP_007408838.1	WP_020452683.1	0.743	74	19	0	1	74	1	74	5.575e-39	134
WP_007409202.1	WP_039072636.1	0.682	511	162	0	1	511	1	509	4.3339999999999996e-240	739
WP_007409232.1	WP_020450783.1	0.584	255	106	0	1	255	1	255	9.891e-94	302
WP_007409265.1	WP_020450740.1	0.778	199	44	0	1	199	1	199	1.023e-100	319
WP_007409642.1	WP_020451231.1	0.909	539	49	0	1	539	1	539	0.0	1013
WP_007409663.1	WP_020451247.1	0.923	470	36	0	1	470	1	470	1.683e-291	885
WP_014416856.1	WP_079289465.1	0.816	272	50	0	1	272	1	272	3.698e-148	460
WP_014416869.1	WP_023857806.1	0.665	395	132	0	1	395	1	395	1.507e-178	555
WP_014416875.1	WP_003183787.1	0.777	207	46	0	1	207	1	207	6.034e-104	329
WP_014416881.1	WP_020450114.1	0.696	198	60	0	1	198	7	204	8.852e-96	305
WP_014417294.1	WP_026579990.1	0.753	275	67	0	1	274	1	275	2.266e-137	429
WP_014417303.1	WP_023856526.1	0.545	121	54	0	1	120	1	121	3.166e-39	138
WP_014417307.1	WP_023856532.1	0.498	303	141	0	1	282	1	303	1.8439999999999998e-90	294
WP_014417314.1	WP_025811778.1	0.594	207	83	0	1	206	1	207	4.938000000000001e-78	254
WP_014417624.1	WP_020451220.1	0.475	224	114	0	1	224	1	219	1.951e-56	193
WP_014418875.1	WP_145645426.1	0.884	572	66	0	1	571	1	572	0.0	1077
WP_014419084.1	WP_020453225.1	0.695	286	87	0	1	286	1	286	1.879e-129	407
WP_014419100.1	WP_020453263.1	0.885	209	24	0	1	209	1	209	4.137e-124	387
WP_014419340.1	WP_065643461.1	0.448	279	153	0	1	279	1	279	1.5909999999999998e-81	268
WP_015239079.1	WP_080131481.1	0.456	254	138	0	7	260	3	256	3.1470000000000003e-69	232
WP_015239232.1	WP_020450018.1	0.462	106	52	0	6	103	10	115	2.002e-24	94
WP_015239834.1	WP_080131361.1	0.575	160	68	0	1	160	1	160	7.258999999999999e-53	179
WP_022553865.1	WP_075212712.1	0.556	157	69	0	4	160	2	158	2.155e-48	166
WP_025649642.1	WP_463315715.1	0.635	442	157	0	8	449	4	434	6.539e-176	550
WP_025649757.1	WP_023855818.1	0.786	441	94	0	1	441	1	441	5.899e-246	752
WP_025649929.1	WP_020450556.1	0.536	353	163	0	1	353	1	352	5.154e-123	392
WP_029973465.1	WP_035338769.1	0.615	130	50	0	17	146	26	155	1.9359999999999998e-51	174
WP_029973602.1	WP_031305044.1	0.619	113	43	0	13	125	15	127	1.337e-45	156
WP_032873891.1	WP_079289159.1	0.761	306	73	0	1	306	1	306	3.609e-157	488
WP_032875556.1	WP_035339290.1	0.834	229	38	0	1	229	1	229	1.464e-128	401
WP_053285014.1	WP_035338038.1	0.382	231	137	0	5	235	8	230	5.372e-43	155
WP_209387497.1	WP_445604470.1	0.841	879	140	0	1	879	1	879	0.0	1500
WP_209387531.1	WP_020452705.1	0.627	188	70	0	1	188	1	188	5.595e-79	256
WP_209387535.1	WP_161517418.1	0.691	327	101	0	1	327	1	327	2.974e-152	475
WP_209387584.1	WP_020452969.1	0.65	343	120	0	4	346	5	347	1.7569999999999999e-149	468
WP_209387590.1	WP_020450026.1	0.445	258	142	0	1	258	1	256	5.035e-76	251
WP_209387668.1	WP_095291480.1	0.642	266	93	0	1	261	1	266	3.716e-117	370
WP_209387672.1	WP_463315635.1	0.579	366	154	0	1	366	7	372	4.085e-140	443
WP_209387867.1	WP_039072880.1	0.513	185	90	0	1	185	1	185	1.587e-63	211
WP_209387869.1	WP_463315619.1	0.625	3588	1344	0	1	3585	1	3588	0.0	4625
WP_209387872.1	WP_463315706.1	0.565	223	97	0	1	223	1	223	3.7299999999999997e-81	264
WP_209387916.1	WP_023855693.1	0.36	99	56	0	19	106	20	118	1.543e-14	66
WP_209387923.1	WP_065643460.1	0.384	135	82	0	1	134	1	135	1.107e-19	82
WP_209387962.1	WP_095292971.1	0.889	742	82	0	1	742	1	742	0.0	1356
WP_209388008.1	WP_023855963.1	0.534	335	155	0	1	335	2	335	1.155e-115	370
WP_209388012.1	WP_026580647.1	0.677	152	49	0	1	152	1	152	3.378e-68	223
WP_003153373.1	WP_020452011.1	0.772	123	28	0	1	123	1	123	1.069e-63	208
WP_003153380.1	WP_023857487.1	0.527	161	75	0	1	161	1	160	3.434e-52	177
WP_003153385.1	WP_020452005.1	0.887	195	22	0	1	195	1	195	6.991e-112	351
WP_003153395.1	WP_245118537.1	0.78	391	86	0	1	391	1	391	2.231e-213	655
WP_003153397.1	WP_020451999.1	0.904	240	23	0	1	240	1	240	1.3340000000000001e-143	445
WP_003153791.1	WP_025811299.1	0.798	208	42	0	1	208	1	208	2.477e-112	353
WP_003153793.1	WP_059230636.1	0.709	592	172	0	1	592	1	592	4.221e-289	885
WP_003153848.1	WP_023857512.1	0.697	76	23	0	1	76	1	76	2.459e-32	115
WP_007408058.1	WP_020452570.1	0.859	440	62	0	1	438	1	440	1.7639999999999999e-248	759
WP_007408348.1	WP_020452138.1	0.893	450	48	0	1	450	1	450	1.554e-273	832
WP_007408351.1	WP_020452134.1	0.744	446	114	0	1	446	1	446	1.764e-226	696
WP_007408388.1	WP_020452108.1	0.803	316	62	0	1	316	1	316	1.731e-170	527
WP_007408704.1	WP_197407115.1	0.759	495	119	0	1	495	1	495	4.897e-257	787
WP_007408721.1	WP_003184941.1	0.74	77	20	0	1	77	1	77	7.183e-38	131
WP_007408761.1	WP_257878874.1	0.547	42	19	0	1	42	1	42	5.349e-10	49
WP_007409002.1	WP_020452780.1	0.447	159	86	0	4	159	6	164	2.037e-39	141
WP_007409057.1	WP_023855684.1	0.639	208	75	0	1	208	1	208	4.9679999999999994e-88	283
WP_012117439.1	WP_020451199.1	0.755	172	42	0	1	172	1	172	6.598000000000001e-84	269
WP_012117522.1	WP_020451335.1	0.788	354	75	0	1	354	1	354	4.1e-179	554
WP_012118223.1	WP_020452630.1	0.783	435	94	0	1	434	1	435	1.664e-229	704
WP_012118346.1	WP_020452827.1	0.762	405	96	0	1	405	1	404	5.6e-201	620
WP_014305189.1	WP_059230589.1	0.668	169	55	0	1	167	1	169	2.499e-75	244
WP_014416919.1	WP_101561607.1	0.769	403	93	0	1	403	1	402	6.924e-207	637
WP_014416943.1	WP_020450230.1	0.729	573	155	0	1	573	1	573	1.5159999999999999e-291	891
WP_014417084.1	WP_075755274.1	0.748	286	72	0	1	286	1	286	2.0539999999999997e-146	456
WP_014417115.1	WP_023855598.1	0.721	398	110	0	1	398	1	395	9.93e-200	616
WP_014417318.1	WP_095289931.1	0.614	376	144	0	1	376	1	375	3.3499999999999996e-148	466
WP_209387682.1	WP_145929969.1	0.559	393	173	0	7	399	4	396	3.269e-150	473
WP_209387719.1	WP_223254891.1	0.594	138	56	0	25	162	7	144	5.422e-49	168
WP_209387722.1	WP_025810589.1	0.639	386	139	0	1	385	1	386	2.934e-175	545
WP_209387757.1	WP_095291338.1	0.739	326	85	0	1	325	1	326	1.477e-167	519
WP_209387760.1	WP_023856876.1	0.826	288	50	0	1	288	1	288	6.209000000000001e-160	495
WP_209387762.1	WP_039073075.1	0.789	295	62	0	1	295	1	295	1.378e-163	506
WP_209387764.1	WP_020453546.1	0.852	271	40	0	1	271	1	271	4.3320000000000004e-163	503
WP_209387796.1	WP_463315609.1	0.358	181	89	0	1	181	1	139	9.602e-32	119
WP_209387797.1	WP_197406992.1	0.76	472	113	0	9	480	1	472	4.4979999999999994e-242	743
WP_209388262.1	WP_143261091.1	0.843	421	66	0	1	421	1	421	4.3720000000000005e-247	754
WP_209388286.1	WP_020451615.1	0.842	800	126	0	1	800	1	800	0.0	1398
WP_209388289.1	WP_025811596.1	0.587	354	146	0	1	354	1	354	5.535e-151	473
WP_209388293.1	WP_095292208.1	0.246	362	268	0	8	363	106	467	3.571e-22	97
WP_209388344.1	WP_020451869.1	0.566	187	81	0	1	187	1	187	2.204e-69	228
WP_209388349.1	WP_020452162.1	0.715	362	103	0	1	362	1	362	8.432e-177	548
WP_209388353.1	WP_020452651.1	0.585	294	121	0	1	293	1	294	1.3360000000000001e-120	382
WP_245207604.1	WP_035338063.1	0.305	152	104	0	20	170	22	173	6.491e-15	70
WP_003156200.1	WP_003179104.1	0.866	105	14	0	1	105	1	105	5.217e-62	202
WP_003156263.1	WP_043926750.1	0.778	140	31	0	1	140	1	140	5.659000000000001e-72	233
WP_003156493.1	WP_023855910.1	0.987	166	2	0	1	166	1	166	8.879999999999999e-103	323
WP_003156508.1	WP_003178377.1	0.986	72	1	0	1	72	1	72	1.278e-44	150
WP_003156766.1	WP_003178438.1	0.909	187	17	0	1	187	1	187	1.119e-110	347
WP_003218330.1	WP_003178187.1	0.941	85	5	0	1	85	1	85	1.885e-47	159
WP_003225844.1	WP_003178393.1	0.986	145	2	0	1	145	1	145	3.156e-95	300
WP_004264606.1	WP_020449824.1	0.833	288	48	0	1	288	1	288	4.494e-164	507
WP_004393063.1	WP_020453633.1	0.818	149	27	0	1	149	1	149	8.087e-79	253
WP_004393130.1	WP_463315621.1	0.851	398	59	0	1	398	1	398	4.339e-237	724
WP_007611980.1	WP_020451827.1	0.793	116	24	0	1	116	1	116	1.1970000000000001e-58	193
WP_007613932.1	WP_025810730.1	0.478	228	117	0	1	226	1	228	5.478e-64	215
WP_007614174.1	WP_023857158.1	0.668	380	125	0	1	378	1	380	1.7230000000000002e-176	548
WP_007614310.1	WP_095291470.1	0.69	278	82	0	1	265	1	278	1.3270000000000002e-121	383
WP_011996172.1	WP_003178189.1	0.852	61	9	0	1	61	1	60	3.3780000000000004e-30	108
WP_012116786.1	WP_020450157.1	0.693	495	150	0	1	491	1	495	3.79e-231	712
WP_012116817.1	WP_105980724.1	0.676	139	45	0	3	141	4	142	3.174e-61	202
WP_012117647.1	WP_020451597.1	0.717	46	13	0	2	47	1	46	1.118e-16	69
WP_012117756.1	WP_020451828.1	0.658	299	101	0	1	296	1	299	5.691e-130	409
WP_014721737.1	WP_025809732.1	0.307	77	49	0	1	72	1	77	3.421e-06	40
WP_015417784.1	WP_003183325.1	0.91	145	13	0	1	145	1	145	1.2559999999999999e-88	281
WP_015417952.1	WP_020452500.1	0.701	258	77	0	1	258	1	258	7.905000000000001e-116	366
WP_017417652.1	WP_020451148.1	0.711	252	72	0	1	252	1	249	3.893e-116	367
WP_017417691.1	WP_020451229.1	0.67	88	29	0	1	88	1	88	3.043e-36	127
WP_017417733.1	WP_101560822.1	0.79	487	102	0	1	487	1	487	1.176e-261	800
WP_017418217.1	WP_020452391.1	0.883	422	49	0	1	422	1	422	1.838e-257	784
WP_017418333.1	WP_020452539.1	0.665	269	90	0	1	269	1	269	1.174e-119	378
WP_017419100.1	WP_197407056.1	0.607	454	176	0	1	450	1	454	3.4069999999999997e-189	589
WP_095060687.1	WP_463315716.1	0.592	167	67	0	29	195	21	186	1.518e-60	203
WP_095061498.1	WP_020450023.1	0.478	356	185	0	1	356	1	355	1.367e-111	359
WP_095272877.1	WP_065643800.1	0.699	515	155	0	1	515	1	515	1.6369999999999998e-243	749
WP_100261973.1	WP_020452758.1	0.624	133	50	0	1	133	1	133	1.017e-52	177
WP_101287828.1	WP_025811224.1	0.6	218	86	0	1	217	1	218	5.072e-83	269
WP_103526682.1	WP_020452670.1	0.802	527	104	0	1	527	1	527	1.744e-293	894
WP_209387688.1	WP_023857567.1	0.606	155	60	0	1	154	1	155	4.1560000000000004e-57	191
WP_209387691.1	WP_023857049.1	0.641	690	247	0	1	690	1	690	3.865e-312	957
WP_209387748.1	WP_031305165.1	0.381	76	46	0	2	77	50	125	3.469e-15	66
WP_209387766.1	WP_079289246.1	0.819	625	113	0	1	625	1	625	0.0	1073
WP_209387806.1	WP_020453653.1	0.869	459	60	0	1	459	1	459	2.397e-264	806
WP_209387810.1	WP_145645970.1	0.57	480	205	0	1	477	1	480	1.089e-183	574
WP_209387814.1	WP_025809571.1	0.841	1177	187	0	1	1177	1	1177	0.0	2032
WP_209388318.1	WP_075213011.1	0.854	668	97	0	1	668	1	667	0.0	1163
WP_209388323.1	WP_023856293.1	0.716	384	109	0	8	391	9	392	1.796e-183	569
WP_209388355.1	WP_039072859.1	0.857	978	140	0	3	980	2	979	0.0	1809
WP_209388359.1	WP_020452666.1	0.801	171	34	0	1	171	1	171	7.898e-90	286
WP_263612330.1	WP_236808660.1	0.458	72	38	0	20	91	34	104	3.795e-20	81
WP_003150697.1	WP_003178140.1	0.974	198	5	0	1	198	1	198	3.407e-129	401
WP_003150818.1	WP_020453462.1	0.834	278	46	0	1	278	1	278	1.148e-155	482
WP_003152750.1	WP_003183918.1	0.855	138	20	0	1	138	1	138	6.424000000000001e-76	244
WP_003152876.1	WP_020452267.1	0.852	88	13	0	1	88	1	88	2.829e-44	150
WP_003152892.1	WP_020452260.1	0.664	194	64	0	1	191	1	194	2.094e-80	260
WP_003152957.1	WP_003183654.1	0.964	57	2	0	1	57	1	57	1.0520000000000001e-31	112
WP_003152984.1	WP_020452239.1	0.935	295	19	0	1	295	1	295	6.780999999999999e-196	599
WP_003152999.1	WP_020452233.1	0.725	120	32	0	1	120	1	119	1.95e-55	184
WP_003153022.1	WP_026579294.1	0.575	99	41	0	1	98	1	99	7.753000000000001e-32	115
WP_003153047.1	WP_011198121.1	0.794	117	24	0	1	117	1	116	8.387e-55	182
WP_003153073.1	WP_020452182.1	0.788	104	22	0	1	104	1	104	6.08e-52	173
WP_003153078.1	WP_020452180.1	0.901	81	8	0	1	81	1	81	6.6e-48	160
WP_007610287.1	WP_026579996.1	0.775	183	41	0	1	183	1	183	9.373e-98	310
WP_007610477.1	WP_020450827.1	0.789	285	60	0	1	285	1	285	3.522e-155	481
WP_007612187.1	WP_023857420.1	0.88	218	26	0	1	218	1	218	1.69e-130	406
WP_007612347.1	WP_023855928.1	0.834	296	49	0	1	296	1	296	1.146e-164	509
WP_007612700.1	WP_039073307.1	0.409	193	109	0	41	233	266	450	4.1870000000000006e-42	152
WP_007613562.1	WP_026580074.1	0.71	273	79	0	1	273	1	273	3.429e-132	414
WP_012117061.1	WP_023856657.1	0.305	284	196	0	32	315	44	326	4.1459999999999996e-45	164
WP_014417709.1	WP_020451287.1	0.696	339	102	0	1	339	2	339	1.218e-159	497
WP_014417719.1	WP_145685923.1	0.784	362	78	0	1	362	1	362	5.043e-190	586
WP_014417723.1	WP_105978929.1	0.637	309	112	0	1	309	1	309	4.934e-137	430
WP_014417727.1	WP_023857242.1	0.819	304	55	0	1	304	1	304	2.967e-175	540
WP_014417735.1	WP_154059137.1	0.659	261	89	0	1	261	1	261	2.767e-111	353
WP_014418151.1	WP_020451761.1	0.422	317	179	0	13	329	2	312	1.428e-73	248
WP_014418348.1	WP_020450388.1	0.443	213	116	0	1	210	1	213	1.766e-56	192
WP_014418369.1	WP_096748221.1	0.465	58	30	0	1	57	1	58	5.175e-10	50
WP_094296495.1	WP_035337765.1	0.693	505	154	0	10	514	2	504	1.1779999999999998e-227	704
WP_095272412.1	WP_145645261.1	0.725	705	193	0	4	708	3	705	0.0	1065
WP_095272620.1	WP_463315655.1	0.407	162	93	0	1	162	1	157	1.5549999999999999e-37	135
WP_103526713.1	WP_065643646.1	0.808	804	154	0	1	804	1	804	0.0	1325
WP_103526947.1	WP_065643306.1	0.437	354	198	0	1	353	1	354	4.042e-94	310
WP_104842705.1	WP_023855361.1	0.757	392	95	0	1	392	1	392	7.011000000000001e-197	608
WP_128496590.1	WP_075212667.1	0.495	473	237	0	1	470	1	473	7.788e-152	482
WP_160183220.1	WP_023857026.1	0.555	108	45	0	33	140	1	102	8.355e-33	120
WP_209387792.1	WP_023857775.1	0.541	314	141	0	1	309	1	314	8.006000000000001e-108	346
WP_209387827.1	WP_020450112.1	0.354	254	160	0	3	250	14	267	2.6639999999999997e-51	179
WP_209387831.1	WP_095292696.1	0.655	290	100	0	10	299	9	298	2.26e-119	379
WP_209387858.1	WP_103750344.1	0.389	454	274	0	19	472	14	463	2.048e-105	347
WP_209387864.1	WP_026578905.1	0.796	398	81	0	2	399	3	399	9.614e-219	671
WP_209387900.1	WP_020450216.1	0.784	167	36	0	1	167	1	167	1.092e-92	294
WP_209387904.1	WP_463315719.1	0.572	701	297	0	1	695	1	701	6.9050000000000005e-264	818
WP_209387938.1	WP_249726772.1	0.432	118	66	0	5	122	1	118	3.8999999999999995e-22	94
WP_003153146.1	WP_020452142.1	0.622	209	77	0	1	206	1	209	1.2750000000000001e-84	273
WP_003153412.1	WP_020451981.1	0.772	193	44	0	1	193	1	193	1.804e-100	318
WP_003153426.1	WP_023857460.1	0.919	382	31	0	1	382	1	382	4.116e-228	697
WP_003153434.1	WP_095291594.1	0.794	346	71	0	1	345	1	346	1.894e-183	566
WP_003153495.1	WP_023857432.1	0.844	109	17	0	3	111	4	112	1.555e-61	201
WP_003153510.1	WP_003182918.1	0.826	127	22	0	1	127	1	127	1.6789999999999998e-68	222
WP_003153702.1	WP_003182742.1	0.847	230	35	0	1	230	1	230	7.572e-129	402
WP_003153733.1	WP_103749529.1	0.782	129	28	0	1	129	1	129	1.229e-64	211
WP_003154188.1	WP_020451433.1	0.847	92	14	0	1	92	1	92	9.26e-50	166
WP_003156270.1	WP_463315628.1	0.75	140	35	0	1	140	1	140	1.572e-75	243
WP_003156317.1	WP_020451679.1	0.764	285	67	0	1	285	1	285	2.153e-144	450
WP_003156467.1	WP_020449860.1	0.926	95	7	0	1	95	1	95	3.208e-54	179
WP_003156475.1	WP_020449862.1	0.955	112	5	0	2	113	3	114	5.169e-66	214
WP_003156681.1	WP_020449994.1	0.788	52	11	0	1	52	1	52	9.446e-22	84
WP_003156718.1	WP_065643394.1	0.756	152	37	0	1	152	1	152	2.501e-78	252
WP_003156758.1	WP_023857686.1	0.883	600	70	0	1	600	1	600	0.0	1077
WP_004264691.1	WP_023855980.1	0.788	289	61	0	1	289	1	289	1.5839999999999999e-158	491
WP_007611113.1	WP_026579783.1	0.669	339	111	0	1	339	1	337	1.828e-154	482
WP_007612765.1	WP_025811120.1	0.66	159	54	0	1	159	1	159	9.929e-67	219
WP_007612896.1	WP_020452468.1	0.865	774	104	0	1	774	1	774	0.0	1364
WP_007613018.1	WP_145645883.1	0.578	83	35	0	3	85	4	86	4.89e-31	112
WP_007614956.1	WP_026579998.1	0.436	527	296	0	13	538	15	541	1.252e-145	467
WP_012117244.1	WP_023857268.1	0.483	151	78	0	8	158	6	156	1.103e-44	156
WP_014418676.1	WP_020450855.1	0.721	266	74	0	8	273	11	276	5.422e-127	399
WP_014418870.1	WP_003180424.1	0.574	260	110	0	4	262	2	261	6.286e-95	306
WP_053285140.1	WP_095292188.1	0.828	332	57	0	1	332	1	331	3.743e-188	579
WP_053285192.1	WP_020452757.1	0.585	328	135	0	1	328	1	327	1.7830000000000002e-131	415
WP_061862201.1	WP_146910670.1	0.699	401	120	0	9	409	2	401	7.385e-191	591
WP_061862348.1	WP_020452014.1	0.708	357	104	0	2	358	3	359	8.141e-171	531
WP_072177304.1	WP_020450322.1	0.59	325	132	0	1	325	1	324	1.098e-126	401
WP_072177473.1	WP_023855364.1	0.489	190	96	0	1	188	1	190	4.41e-62	207
WP_094031586.1	WP_020450573.1	0.768	263	61	0	2	264	1	263	3.188e-137	428
WP_129091739.1	WP_020451727.1	0.442	587	324	0	22	602	14	600	7.295e-165	526
WP_164906833.1	WP_023857771.1	0.408	49	28	0	4	52	6	54	1.58e-07	43
WP_169510469.1	WP_085959887.1	0.947	96	5	0	1	96	1	96	3.369e-54	179
WP_205161014.1	WP_020453542.1	0.824	432	76	0	2	431	3	434	1.875e-235	721
WP_209387319.1	WP_463315702.1	0.697	2564	776	0	1	2563	1	2564	0.0	3754
WP_209387322.1	WP_026585627.1	0.711	374	108	0	1	374	1	374	4.7700000000000003e-178	553
WP_209387368.1	WP_020451861.1	0.769	143	33	0	1	143	1	143	7.033e-78	250
WP_209387372.1	WP_025811262.1	0.454	207	112	0	1	207	1	207	3.166e-57	194
WP_209387959.1	WP_145608560.1	0.275	448	320	0	1	448	1	442	2.417e-43	164
WP_209387963.1	WP_095292969.1	0.932	476	32	0	1	476	1	476	4.821e-300	910
WP_209388013.1	WP_023855891.1	0.813	338	63	0	1	338	1	338	1.934e-190	586
WP_209388017.1	WP_039072771.1	0.377	572	353	0	1	568	1	572	4.883999999999999e-134	435
WP_209388057.1	WP_463315656.1	0.747	583	147	0	1	583	1	582	6.86e-298	910
WP_003154644.1	WP_023857297.1	0.894	342	36	0	1	342	1	342	2.129e-215	658
WP_003155034.1	WP_003180621.1	0.931	131	9	0	1	131	1	131	3.109e-80	256
WP_003155070.1	WP_003180573.1	0.881	59	7	0	1	59	1	59	4.214e-34	119
WP_003155105.1	WP_023856637.1	0.9	40	4	0	1	40	1	40	2.901e-21	81
WP_003155391.1	WP_026580010.1	0.941	631	37	0	1	631	1	631	0.0	1219
WP_003155466.1	WP_026580615.1	0.819	155	28	0	1	155	1	155	4.9509999999999995e-88	280
WP_003155984.1	WP_020450329.1	0.887	214	24	0	1	213	1	214	5.482000000000001e-124	387
WP_003156143.1	WP_003179166.1	0.985	67	1	0	1	67	1	67	3.0259999999999995e-41	140
WP_003156178.1	WP_023857861.1	0.857	133	19	0	1	133	1	133	2.7640000000000002e-74	239
WP_003156423.1	WP_003178298.1	0.926	177	13	0	1	177	1	177	3.4469999999999997e-110	345
WP_007613029.1	WP_020452538.1	0.908	643	59	0	1	643	1	643	0.0	1216
WP_007613337.1	WP_023856116.1	0.784	274	59	0	1	274	1	274	1.567e-142	444
WP_007615126.1	WP_025810896.1	0.852	196	29	0	1	196	1	196	3.456e-111	349
WP_007615206.1	WP_023855972.1	0.85	308	46	0	1	308	1	307	1.761e-174	538
WP_012117426.1	WP_003181243.1	0.797	281	57	0	8	288	1	281	5.33e-152	472
WP_012117512.1	WP_048350284.1	0.829	921	157	0	1	920	1	921	0.0	1637
WP_012117609.1	WP_020451506.1	0.741	205	53	0	1	205	1	204	3.787e-98	312
WP_012118333.1	WP_025809765.1	0.732	198	53	0	1	198	1	197	5.541e-107	337
WP_012118415.1	WP_023856248.1	0.63	316	116	0	1	314	1	316	6.796999999999999e-127	401
WP_014720846.1	WP_020450523.1	0.486	113	57	0	4	115	1	113	8.814000000000001e-30	110
WP_015388267.1	WP_463315681.1	0.798	303	61	0	1	303	1	303	2.4310000000000003e-168	520
WP_015416819.1	WP_020452101.1	0.647	261	92	0	1	261	1	261	1.599e-117	371
WP_015417218.1	WP_463315663.1	0.716	233	65	0	1	233	1	230	1.6720000000000002e-121	381
WP_015418422.1	WP_103749414.1	0.473	186	97	0	1	185	1	186	5.204e-42	149
WP_017417873.1	WP_020451801.1	0.45	141	77	0	1	141	1	141	1.218e-32	120
WP_017417889.1	WP_026579579.1	0.55	200	87	0	4	198	3	202	9.478e-69	227
WP_029973651.1	WP_023857430.1	0.724	378	104	0	1	377	1	378	3.965e-182	564
WP_029973679.1	WP_020451214.1	0.53	165	76	0	7	171	5	167	4.815e-54	183
WP_029973761.1	WP_039073309.1	0.831	333	54	0	1	333	1	323	1.222e-191	589
WP_029973818.1	WP_020452839.1	0.882	433	51	0	1	433	1	433	3.0519999999999997e-257	784
WP_031379284.1	WP_151253457.1	0.779	628	138	0	1	628	1	627	0.0	1008
WP_032863798.1	WP_011197759.1	0.382	189	114	0	1	186	1	189	8.299e-37	134
WP_032863917.1	WP_023856155.1	0.518	27	13	0	3	29	2	28	0.0002159	34
WP_042635591.1	WP_023857023.1	0.469	83	41	0	14	91	3	85	2.242e-17	73
WP_044802245.1	WP_039072769.1	0.855	493	71	0	1	493	1	493	2.8129999999999997e-297	903
